OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,ActivityLocation/SourceMapScaleNumeric,ActivityLocation/HorizontalAccuracyMeasure/MeasureValue,ActivityLocation/HorizontalAccuracyMeasure/MeasureUnitCode,ActivityLocation/HorizontalCollectionMethodName,ActivityLocation/HorizontalCoordinateReferenceSystemDatumName,AssemblageSampledName,CollectionDuration/MeasureValue,CollectionDuration/MeasureUnitCode,SamplingComponentName,SamplingComponentPlaceInSeriesNumeric,ReachLengthMeasure/MeasureValue,ReachLengthMeasure/MeasureUnitCode,ReachWidthMeasure/MeasureValue,ReachWidthMeasure/MeasureUnitCode,PassCount,NetTypeName,NetSurfaceAreaMeasure/MeasureValue,NetSurfaceAreaMeasure/MeasureUnitCode,NetMeshSizeMeasure/MeasureValue,NetMeshSizeMeasure/MeasureUnitCode,BoatSpeedMeasure/MeasureValue,BoatSpeedMeasure/MeasureUnitCode,CurrentSpeedMeasure/MeasureValue,CurrentSpeedMeasure/MeasureUnitCode,ToxicityTestType,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodQualifierTypeName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,SampleCollectionMethod/SampleCollectionEquipmentCommentText,SamplePreparationMethod/MethodIdentifier,SamplePreparationMethod/MethodIdentifierContext,SamplePreparationMethod/MethodName,SamplePreparationMethod/MethodQualifierTypeName,SamplePreparationMethod/MethodDescriptionText,SampleContainerTypeName,SampleContainerColorName,ChemicalPreservativeUsedName,ThermalPreservativeUsedName,SampleTransportStorageDescription,DataLoggerLine,ResultDetectionConditionText,MethodSpecificationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,DataQuality/BiasValue,ConfidenceIntervalValue,UpperConfidenceLimitValue,LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,ResultSamplingPointName,BiologicalIntentName,BiologicalIndividualIdentifier,SubjectTaxonomicName,UnidentifiedSpeciesIdentifier,SampleTissueAnatomyName,GroupSummaryCountWeight/MeasureValue,GroupSummaryCountWeight/MeasureUnitCode,CellFormName,CellShapeName,HabitName,VoltismName,TaxonomicPollutionTolerance,TaxonomicPollutionToleranceScaleText,TrophicLevelName,FunctionalFeedingGroupName,TaxonomicDetailsCitation/ResourceTitleName,TaxonomicDetailsCitation/ResourceCreatorName,TaxonomicDetailsCitation/ResourceSubjectText,TaxonomicDetailsCitation/ResourcePublisherName,TaxonomicDetailsCitation/ResourceDate,TaxonomicDetailsCitation/ResourceIdentifier,FrequencyClassDescriptorCode,FrequencyClassDescriptorUnitCode,LowerClassBoundValue,UpperClassBoundValue,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,AnalysisStartTime/Time,AnalysisStartTime/TimeZoneCode,AnalysisEndDate,AnalysisEndTime/Time,AnalysisEndTime/TimeZoneCode,ResultLaboratoryCommentCode,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LaboratoryAccreditationIndicator,LaboratoryAccreditationAuthorityName,TaxonomistAccreditationIndicator,TaxonomistAccreditationAuthorityName,LabSamplePreparationMethod/MethodIdentifier,LabSamplePreparationMethod/MethodIdentifierContext,LabSamplePreparationMethod/MethodName,LabSamplePreparationMethod/MethodQualifierTypeName,LabSamplePreparationMethod/MethodDescriptionText,PreparationStartDate,PreparationStartTime/Time,PreparationStartTime/TimeZoneCode,PreparationEndDate,PreparationEndTime/Time,PreparationEndTime/TimeZoneCode,SubstitutionDilutionFactorNumeric,ProviderName
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01000518,Sample-Routine,Water,Surface Water,2009-12-17,11:08:00,MST,,,,,,,,,,,,,U.S. National Park Service,USGS-313436111025101,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,USGS parameter code 82398,Grab sample  (dip),,,Grab sample,,,,,,,,,,,,,,,Escherichia coli,,40,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00900576,Sample-Routine,Water,Surface Water,2009-07-16,14:47:00,MST,,,,,,,,,,,,,U.S. National Park Service,USGS-313343110024701,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,USGS parameter code 82398,Grab sample  (dip),,,Grab sample,,,,,,,,,,,,,,,Escherichia coli,,750,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,sample was diluted,,,,,,,,,,,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01000590,Sample-Routine,Water,Surface Water,2009-10-27,08:20:00,MST,,,,,,,,,,,,,"Friends of the Santa Cruz River, Tubac, AZ",USGS-313343110024701,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,USGS parameter code 82398,Grab sample  (dip),,,Grab sample,,,,,,,,,,,,,,,Escherichia coli,,120,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,"Friends of the Santa Cruz River, Tubac, AZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01000512,Sample-Routine,Water,Surface Water,2009-10-28,08:15:00,MST,,,,,,,,,,,,,U.S. National Park Service,USGS-313343110024701,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,USGS parameter code 82398,Grab sample  (dip),,,Grab sample,,,,,,,,,,,,,,,Escherichia coli,,86,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00900577,Sample-Routine,Water,Surface Water,2009-07-30,08:56:00,MST,,,,,,,,,,,,,U.S. National Park Service,USGS-313413111024400,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,USGS parameter code 82398,Grab sample  (dip),,,Grab sample,,,,,,,,,,,,,,,Escherichia coli,,160000,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00900584,Sample-Routine,Water,Surface Water,2009-09-03,07:34:00,MST,,,,,,,,,,,,,U.S. National Park Service,USGS-313343110024701,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,USGS parameter code 82398,Grab sample  (dip),,,Grab sample,,,,,,,,,,,,,,,Escherichia coli,,520,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,sample was diluted,,,,,,,,,,,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00900571,Sample-Routine,Water,Surface Water,2009-07-01,08:51:00,MST,,,,,,,,,,,,,U.S. National Park Service,USGS-313436111025101,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,USGS parameter code 82398,Grab sample  (dip),,,Grab sample,,,,,,,,,,,,,,,Escherichia coli,,170000,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,sample was diluted,,,,,,,,,,,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01000517,Quality Control Sample-Field Replicate,Water,Surface Water,2009-12-08,14:35:00,MST,,,,,,,,,,,,,U.S. National Park Service,USGS-313343110024701,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,USGS parameter code 82398,Grab sample  (dip),,,Grab sample,,,,,,,,,,,,,,,Escherichia coli,,74,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01000591,Sample-Routine,Water,Surface Water,2009-10-27,09:00:00,MST,,,,,,,,,,,,,"Friends of the Santa Cruz River, Tubac, AZ",USGS-09481710,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,USGS parameter code 82398,Grab sample  (dip),,,Grab sample,,,,,,,,,,,,,,,Escherichia coli,,62,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,"Friends of the Santa Cruz River, Tubac, AZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00900581,Sample-Routine,Water,Surface Water,2009-08-25,12:20:00,MST,,,,,,,,,,,,,U.S. National Park Service,USGS-313436111025101,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,USGS parameter code 82398,Grab sample  (dip),,,Grab sample,,,,,,,,,,,,,Present Above Quantification Limit,,Escherichia coli,,,,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,,Upper Reporting Limit,2400,MPN/100 ml,,,,,,,,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00900604,Sample-Routine,Water,Surface Water,2009-07-28,08:20:00,MST,,,,,,,,,,,,,"Friends of the Santa Cruz River, Tubac, AZ",USGS-09481710,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,USGS parameter code 82398,Grab sample  (dip),,,Grab sample,,,,,,,,,,,,,,,Escherichia coli,,1000,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,"Friends of the Santa Cruz River, Tubac, AZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00900603,Sample-Routine,Water,Surface Water,2009-07-28,07:30:00,MST,,,,,,,,,,,,,"Friends of the Santa Cruz River, Tubac, AZ",USGS-313343110024701,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,USGS parameter code 82398,Grab sample  (dip),,,Grab sample,,,,,,,,,,,,,,,Escherichia coli,,380,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,"Friends of the Santa Cruz River, Tubac, AZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01000513,Sample-Routine,Water,Surface Water,2009-11-05,11:38:00,MST,,,,,,,,,,,,,U.S. National Park Service,USGS-313413111024400,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,USGS parameter code 82398,Grab sample  (dip),,,Grab sample,,,,,,,,,,,,,,,Escherichia coli,,170,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00900572,Sample-Routine,Water,Surface Water,2009-07-06,08:40:00,MST,,,,,,,,,,,,,U.S. National Park Service,USGS-313343110024701,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,USGS parameter code 82398,Grab sample  (dip),,,Grab sample,,,,,,,,,,,,,,,Escherichia coli,,1700,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,sample was diluted,,,,,,,,,,,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00900602,Sample-Routine,Water,Surface Water,2009-07-28,06:45:00,MST,,,,,,,,,,,,,"Friends of the Santa Cruz River, Tubac, AZ",USGS-313854111025701,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,USGS parameter code 82398,Grab sample  (dip),,,Grab sample,,,,,,,,,,,,,,,Escherichia coli,,1100,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,"Friends of the Santa Cruz River, Tubac, AZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01000515,Sample-Routine,Water,Surface Water,2009-11-12,14:00:00,MST,,,,,,,,,,,,,U.S. National Park Service,USGS-313343110024701,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,USGS parameter code 82398,Grab sample  (dip),,,Grab sample,,,,,,,,,,,,,,,Escherichia coli,,43,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS
