OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00800500,Sample-Routine,Water,Surface Water,11/5/2007,14:45:00,MST,,,,,,,,,,,,,,U.S. National Park Service,USGS-313436111025101,,,,Not applicable,Not applicable,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103575651,,,Escherichia coli,,150,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00800505,Sample-Routine,Water,Surface Water,11/20/2007,8:30:00,MST,,,,,,,,,,,,,,U.S. National Park Service,USGS-313343110024701,,,,Not applicable,Not applicable,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103575671,,,Escherichia coli,,75,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00700616,Sample-Routine,Water,Surface Water,7/12/2007,7:20:00,MST,,,,,,,,,,,,,,U.S. National Park Service,USGS-313436111025101,,,,Not applicable,Not applicable,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103575473,Present Above Quantification Limit,,Escherichia coli,,,,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,Upper Reporting Limit,2400,MPN/100 ml,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00700612,Sample-Routine,Water,Surface Water,7/6/2007,8:00:00,MST,,,,,,,,,,,,,,U.S. National Park Service,USGS-313343110024701,,,,Not applicable,Not applicable,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103575457,,,Escherichia coli,,460,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00700615,Sample-Routine,Water,Surface Water,7/10/2007,7:35:00,MST,,,,,,,,,,,,,,U.S. National Park Service,USGS-313343110024701,,,,Not applicable,Not applicable,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103575469,Present Above Quantification Limit,,Escherichia coli,,,,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,Upper Reporting Limit,2400,MPN/100 ml,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00800510,Sample-Routine,Water,Surface Water,11/1/2007,9:20:00,MST,,,,,,,,,,,,,,U.S. National Park Service,USGS-313413111024400,,,,Not applicable,Not applicable,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103575691,Present Above Quantification Limit,,Escherichia coli,,,,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,Upper Reporting Limit,2400,MPN/100 ml,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00700602,Sample-Routine,Water,Surface Water,6/27/2007,8:00:00,MST,,,,,,,,,,,,,,U.S. National Park Service,USGS-313343110024701,,,,Not applicable,Not applicable,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103575417,,,Escherichia coli,,1000,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00700604,Sample-Routine,Water,Surface Water,6/28/2007,7:55:00,MST,,,,,,,,,,,,,,U.S. National Park Service,USGS-313343110024701,,,,Not applicable,Not applicable,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103575425,,,Escherichia coli,,360,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00800489,Sample-Routine,Water,Surface Water,10/9/2007,8:55:00,MST,,,,,,,,,,,,,,U.S. National Park Service,USGS-313343110024701,,,,Not applicable,Not applicable,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103575607,,,Escherichia coli,,730,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00800492,Quality Control Sample-Field Replicate,Water,Surface Water,10/18/2007,8:20:00,MST,,,,,,,,,,,,,,U.S. National Park Service,USGS-313343110024701,,,,Not applicable,Not applicable,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103575619,Present Above Quantification Limit,,Escherichia coli,,,,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,Upper Reporting Limit,2400,MPN/100 ml,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00800507,Sample-Routine,Water,Surface Water,11/29/2007,10:33:00,MST,,,,,,,,,,,,,,U.S. National Park Service,USGS-313413111024400,,,,Not applicable,Not applicable,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103575679,,,Escherichia coli,,150,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00700619,Sample-Routine,Water,Surface Water,7/12/2007,14:30:00,MST,,,,,,,,,,,,,,U.S. National Park Service,USGS-313413111024400,,,,Not applicable,Not applicable,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103575485,,,Escherichia coli,,2000,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00700599,Sample-Routine,Water,Surface Water,6/26/2007,8:30:00,MST,,,,,,,,,,,,,,U.S. National Park Service,USGS-313343110024701,,,,Not applicable,Not applicable,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103575405,,,Escherichia coli,,870,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00700594,Sample-Routine,Water,Surface Water,6/20/2007,15:20:00,MST,,,,,,,,,,,,,,U.S. National Park Service,USGS-313343110024701,,,,Not applicable,Not applicable,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103575385,Present Above Quantification Limit,,Escherichia coli,,,,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,Upper Reporting Limit,2400,MPN/100 ml,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00700590,Sample-Routine,Water,Surface Water,6/18/2007,13:45:00,MST,,,,,,,,,,,,,,U.S. National Park Service,USGS-313343110024701,,,,Not applicable,Not applicable,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103575369,,,Escherichia coli,,190,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00700635,Sample-Routine,Water,Surface Water,8/16/2007,9:15:00,MST,,,,,,,,,,,,,,U.S. National Park Service,USGS-313413111024400,,,,Not applicable,Not applicable,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103575550,,,Escherichia coli,,3400,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,sample was diluted,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00700600,Sample-Routine,Water,Surface Water,6/26/2007,12:00:00,MST,,,,,,,,,,,,,,U.S. National Park Service,USGS-313343110024701,,,,Not applicable,Not applicable,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103575409,,,Escherichia coli,,340,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00800508,Sample-Routine,Water,Surface Water,11/29/2007,10:42:00,MST,,,,,,,,,,,,,,U.S. National Park Service,USGS-313436111025101,,,,Not applicable,Not applicable,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103575683,,,Escherichia coli,,180,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00800497,Sample-Routine,Water,Surface Water,11/5/2007,8:15:00,MST,,,,,,,,,,,,,,U.S. National Park Service,USGS-313413111024400,,,,Not applicable,Not applicable,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103575639,,,Escherichia coli,,410,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00700617,Sample-Routine,Water,Surface Water,7/12/2007,7:10:00,MST,,,,,,,,,,,,,,U.S. National Park Service,USGS-313413111024400,,,,Not applicable,Not applicable,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103575477,Present Above Quantification Limit,,Escherichia coli,,,,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,Upper Reporting Limit,2400,MPN/100 ml,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00700636,Sample-Routine,Water,Surface Water,8/16/2007,9:25:00,MST,,,,,,,,,,,,,,U.S. National Park Service,USGS-313436111025101,,,,Not applicable,Not applicable,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103575554,,,Escherichia coli,,3600,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,sample was diluted,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00800504,Sample-Routine,Water,Surface Water,11/14/2007,9:15:00,MST,,,,,,,,,,,,,,U.S. National Park Service,USGS-313413111024400,,,,Not applicable,Not applicable,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103575667,,,Escherichia coli,,57,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00800488,Sample-Routine,Water,Surface Water,10/3/2007,8:23:00,MST,,,,,,,,,,,,,,U.S. National Park Service,USGS-313343110024701,,,,Not applicable,Not applicable,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103575603,Present Above Quantification Limit,,Escherichia coli,,,,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,Upper Reporting Limit,2400,MPN/100 ml,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00800493,Quality Control Sample-Field Replicate,Water,Surface Water,10/24/2007,8:25:00,MST,,,,,,,,,,,,,,U.S. National Park Service,USGS-313343110024701,,,,Not applicable,Not applicable,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103575623,,,Escherichia coli,,460,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00700609,Sample-Routine,Water,Surface Water,7/5/2007,8:50:00,MST,,,,,,,,,,,,,,U.S. National Park Service,USGS-313436111025101,,,,Not applicable,Not applicable,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103575445,,,Escherichia coli,,690,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00700641,Sample-Routine,Water,Surface Water,9/12/2007,9:15:00,MST,,,,,,,,,,,,,,U.S. National Park Service,USGS-313436111025101,,,,Not applicable,Not applicable,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103575575,,,Escherichia coli,,460,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00700644,Sample-Routine,Water,Surface Water,9/21/2007,8:25:00,MST,,,,,,,,,,,,,,U.S. National Park Service,USGS-313436111025101,,,,Not applicable,Not applicable,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103575587,Present Above Quantification Limit,,Escherichia coli,,,,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,Upper Reporting Limit,2400,MPN/100 ml,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00700628,Sample-Routine,Water,Surface Water,7/18/2007,7:25:00,MST,,,,,,,,,,,,,,U.S. National Park Service,USGS-313413111024400,,,,Not applicable,Not applicable,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103575521,,,Escherichia coli,,240000,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,sample was diluted,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00700613,Sample-Routine,Water,Surface Water,7/9/2007,8:00:00,MST,,,,,,,,,,,,,,U.S. National Park Service,USGS-313343110024701,,,,Not applicable,Not applicable,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103575461,,,Escherichia coli,,2400,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00700642,Sample-Routine,Water,Surface Water,9/12/2007,9:35:00,MST,,,,,,,,,,,,,,U.S. National Park Service,USGS-313343110024701,,,,Not applicable,Not applicable,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103575579,,,Escherichia coli,,490,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00700605,Sample-Routine,Water,Surface Water,6/28/2007,15:00:00,MST,,,,,,,,,,,,,,U.S. National Park Service,USGS-313343110024701,,,,Not applicable,Not applicable,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103575429,,,Escherichia coli,,140,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00700601,Sample-Routine,Water,Surface Water,6/26/2007,15:05:00,MST,,,,,,,,,,,,,,U.S. National Park Service,USGS-313343110024701,,,,Not applicable,Not applicable,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103575413,,,Escherichia coli,,370,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,,NWIS
